				Overall							PP		SH		Defense	
Player Name	Team	Pos	Games	G	A	Pts	+/-	PIM	SOG	GWG	G	A	G	A	Hits	BS
Jonathan Huberdeau	FLA	LW	70	22	52	74	-15	34	189	3	9	22	0	0	47	41
Alexander Radulov	DAL	RW	58	22	34	56	18	48	165	5	4	12	0	0	55	69
Frank Vatrano	FLA	LW	69	22	14	36	-5	32	178	1	1	6	0	0	107	68
Brock Nelson	NYI	C	70	21	23	44	17	24	151	2	2	4	1	0	43	48
James van Riemsdyk	PHI	LW	54	21	17	38	-10	16	121	3	8	3	0	0	28	14
Evgeni Malkin	PIT	C	65	21	50	71	-23	89	177	5	9	17	0	0	52	33
Carl Soderberg	COL	C	70	21	22	43	-8	22	161	2	2	7	3	0	80	58
Blake Coleman	NJ	C	67	21	13	34	-8	56	183	3	2	0	3	2	192	36
Jakob Silfverberg	ANH	RW	63	21	12	33	-14	26	141	2	3	6	2	0	35	39
T.J. Oshie	WAS	RW	60	21	23	44	3	32	128	4	4	7	1	0	121	46
Jason Zucker	MIN	LW	70	21	17	38	-2	26	189	5	7	5	0	0	81	32
Max Pacioretty	VGK	LW	57	21	16	37	-11	34	171	5	4	3	0	0	106	20
Jakub Vrana	WAS	RW	71	21	22	43	20	22	137	4	1	3	0	0	39	29
Claude Giroux	PHI	C	70	20	53	73	14	24	198	4	2	17	1	0	26	15
Tom Wilson	WAS	RW	52	20	16	36	18	101	111	2	3	2	2	0	152	44
Alex Chiasson	EDM	RW	61	20	12	32	-1	28	101	0	7	7	1	0	71	26
Andreas Johnsson	TOR	LW	63	20	19	39	18	24	111	3	3	3	0	0	49	30
Jonathan Marchessault	VGK	LW	70	20	27	47	-4	40	243	4	5	9	0	0	87	15
Nino Niederreiter	CAR	RW	69	20	24	44	-4	26	155	3	6	8	0	0	76	16
Justin Williams	CAR	RW	69	20	25	45	-5	34	204	4	9	4	0	0	46	23
Blake Wheeler	WPG	RW	70	20	66	86	5	49	203	3	2	29	2	0	70	51
Gustav Nyquist	SJ	RW	70	19	34	53	1	12	184	2	1	10	0	0	28	20
Morgan Rielly	TOR	D	70	19	48	67	30	12	187	5	3	16	0	0	54	97
Kasperi Kapanen	TOR	RW	68	19	23	42	13	23	147	3	1	2	2	0	73	19
Eric Staal	MIN	C	70	19	28	47	1	30	190	5	5	6	0	1	36	24
Mikael Backlund	CGY	C	66	19	24	43	31	44	167	3	1	1	1	1	48	21
Craig Smith	NSH	RW	66	19	13	32	8	16	188	2	4	3	0	0	64	30
Anze Kopitar	LA	C	69	19	29	48	-12	28	134	2	0	13	2	0	53	58
Brett Connolly	WAS	RW	71	19	20	39	5	22	120	4	1	1	0	0	45	23
William Karlsson	VGK	C	70	19	25	44	-5	14	149	4	6	7	1	1	44	45
Casey Cizikas	NYI	C	63	19	11	30	26	34	97	3	0	0	2	1	106	55
David Krejci	BOS	C	71	19	43	62	4	16	125	4	6	9	0	0	25	23
Nicklas Backstrom	WAS	C	70	18	49	67	6	26	153	4	7	18	0	0	49	23
Evgeny Kuznetsov	WAS	C	65	18	44	62	7	48	169	3	8	13	0	0	40	18
Nikolaj Ehlers	WPG	LW	50	18	15	33	6	13	130	4	1	5	0	0	22	13
Teuvo Teravainen	CAR	C	69	18	47	65	23	12	142	1	7	14	1	4	24	22
Sam Reinhart	BUF	C	70	18	40	58	-3	14	152	0	2	13	0	0	33	42
Yanni Gourde	TB	LW	71	18	23	41	6	49	121	5	5	3	0	1	79	26
Alex Tuch	VGK	RW	62	18	30	48	12	6	147	6	3	3	0	0	78	36
Jakub Voracek	PHI	LW	66	18	43	61	-10	21	178	2	3	12	0	0	16	26
Micheal Ferland	CAR	LW	58	17	18	35	15	45	131	3	6	5	0	0	147	14
Mathew Barzal	NYI	C	70	17	39	56	-11	40	152	3	3	15	0	0	22	43
Anthony Mantha	DET	RW	56	17	16	33	-13	28	157	0	3	5	0	0	60	16
Brian Boyle	NSH	C	63	17	6	23	-14	31	110	3	7	2	1	1	126	46
Travis Zajac	NJ	C	69	17	24	41	-17	16	107	2	3	6	2	0	56	37
Patric Hornqvist	PIT	RW	58	17	16	33	-4	22	149	2	6	4	0	0	129	27
Nico Hischier	NJ	C	62	17	27	44	4	14	142	3	3	6	0	0	48	39
Andrei Svechnikov	CAR	RW	69	17	15	32	-3	56	159	2	0	4	0	0	106	21
Jonathan Drouin	MON	C	70	17	33	50	-3	26	173	3	3	11	0	0	52	22
Andrew Shaw	MON	C	52	17	19	36	8	63	103	3	3	3	0	0	105	29
Jared McCann	PIT	C	67	17	14	31	0	31	122	1	1	2	3	0	62	47
Cody Eakin	VGK	C	66	17	18	35	18	14	102	3	0	3	3	0	75	33
Dustin Brown	LA	RW	60	17	22	39	-11	16	146	3	6	1	1	1	129	27
David Perron	STL	RW	45	17	18	35	3	36	85	1	4	6	0	0	41	11
Bryan Rust	PIT	RW	62	17	14	31	10	18	123	4	0	0	2	1	98	52
Dylan Strome	CHI	C	66	17	32	49	-8	18	121	3	6	9	0	0	12	39
Anthony Beauvillier	NYI	LW	69	16	8	24	0	8	139	3	1	1	0	0	70	32
Jimmy Vesey	NYR	LW	69	16	18	34	2	21	135	3	1	3	0	0	67	32
Nick Foligno	CLS	LW	65	16	14	30	3	44	126	2	2	2	0	0	154	49
Mikael Granlund	NSH	C	69	16	37	53	-5	22	171	5	2	18	2	0	37	35
Kevin Hayes	WPG	C	59	16	31	47	0	10	137	1	3	8	2	1	55	13
Marcus Sorensen	SJ	RW	69	16	11	27	11	19	84	1	0	0	1	1	72	25
Brad Richardson	ARI	C	55	16	7	23	6	22	103	3	0	0	3	2	45	48
Zach Hyman	TOR	RW	59	16	16	32	17	57	116	4	0	0	1	0	92	33
Adam Henrique	ANH	C	72	16	20	36	-5	24	110	3	7	3	0	1	68	60
Wayne Simmonds	NSH	RW	69	16	12	28	-18	92	146	2	5	3	0	0	124	25
Tyler Bertuzzi	DET	LW	62	16	17	33	3	30	104	2	1	1	0	0	68	37
Pavel Buchnevich	NYR	LW	53	16	13	29	-10	13	93	0	7	3	0	0	45	16
Brady Tkachuk	OTT	LW	60	16	20	36	-4	67	171	2	2	4	0	0	139	22
Boone Jenner	CLS	LW	65	15	19	34	4	40	153	3	1	1	1	0	141	66
Jason Pominville	BUF	RW	64	15	13	28	-1	4	116	3	1	1	0	0	16	18
Vinnie Hinostroza	ARI	C	61	15	19	34	-5	10	120	3	3	2	0	0	58	35
Jordan Martinook	CAR	LW	69	15	6	21	5	32	126	5	0	0	1	0	160	42
Nazem Kadri	TOR	C	62	15	22	37	2	31	160	5	4	8	0	0	63	11
J.T. Compher	COL	C	54	15	15	30	-4	31	103	3	4	5	3	0	23	42
Nick Bonino	NSH	C	71	15	14	29	27	18	106	1	3	0	0	1	24	62
Roman Josi	NSH	D	72	15	40	55	9	38	248	4	2	10	0	1	48	120
Bryan Little	WPG	C	70	15	26	41	-7	26	114	5	4	3	0	2	48	22
Valtteri Filppula	NYI	C	68	15	14	29	17	16	71	3	0	0	1	0	11	32
Alex Galchenyuk	ARI	RW	61	15	21	36	-20	28	133	3	7	12	0	0	49	28
Kris Letang	PIT	D	60	15	38	53	10	34	188	3	2	16	1	1	111	102
Josh Bailey	NYI	LW	70	14	36	50	8	19	107	3	2	11	1	0	16	26
Oliver Bjorkstrand	CLS	RW	65	14	11	25	4	4	126	0	1	0	0	0	33	27
Anthony Cirelli	TB	C	71	14	16	30	22	29	107	4	0	1	4	0	82	44
Joonas Donskoi	SJ	RW	71	14	20	34	11	10	106	4	1	2	0	0	32	33
Joe Thornton	SJ	C	62	14	28	42	8	14	76	4	3	8	0	0	15	11
Thomas Vanek	DET	LW	60	14	20	34	-13	26	95	1	4	7	0	0	36	12
Reilly Smith	VGK	RW	63	14	28	42	7	12	155	1	4	9	0	3	34	29
Patrick Marleau	TOR	LW	70	14	21	35	-5	20	134	3	3	6	0	0	65	37
Ilya Kovalchuk	LA	RW	59	14	16	30	-25	10	133	1	4	5	0	0	27	17
